selected,active_p2,p2_markets,p2_staked,p2_roi,p2_roi_net_fee,copy_d0_roi,copy_d0_ci,copy_d0_trades,copy_d5_roi,copy_d5_ci,copy_d5_trades,copy_d30_roi,copy_d30_ci,copy_d30_trades,copy_d30_prop_roi,copy_d30_prop_ci,copy_d60_roi,copy_d60_ci,copy_d60_trades,rule,p1_roi,p1_median_z,family
50.0,42,4713.0,5285694.632628498,-0.015718886592078443,-0.015945302083533557,-0.015578312927026378,-0.047..+0.015,3362.0,-0.005847094209777272,-0.048..+0.045,3319.0,-0.01489169700444671,-0.060..+0.037,3252.0,-0.03906381672327925,-0.081..+0.000,-0.03495108612496997,-0.071..+0.009,3198.0,win_rate,0.03384323198418895,0.3957601301461233,soccer
50.0,42,27655.0,333338237.8007081,0.03877026821449455,0.032162370204342414,0.0021834798952273917,-0.026..+0.030,43554.0,0.0035360647008106827,-0.025..+0.032,39171.0,-0.003388585959275176,-0.032..+0.025,34271.0,-0.02153257943507029,-0.039..-0.003,-0.0077222955076207,-0.038..+0.022,30965.0,whales,0.020875141405828607,0.14137238620359743,soccer
44.0,38,6899.0,1344482.8130504612,0.08625021028502142,0.08271251724256797,0.031694320073596904,-0.016..+0.081,5917.0,0.019183398288638954,-0.026..+0.063,6157.0,0.009606220669671426,-0.040..+0.060,5867.0,-0.01844524161049165,-0.050..+0.010,-0.004529064547962058,-0.049..+0.039,5794.0,fdr,0.21786094255283253,3.9809600331655424,soccer
,391117,,,0.006802551561642253,-0.002995216084407118,,,,,,,,,,,,,,,all takers,,,soccer
50.0,24,9065.0,56160918.502666794,-0.013982911600072446,-0.02901109541142039,-0.0120475924107691,-0.042..+0.018,31265.0,-0.012315448118947234,-0.041..+0.013,28162.0,-0.020746728862998626,-0.049..+0.004,26153.0,-0.01601490684604365,-0.038..+0.006,-0.03229207868372006,-0.058..-0.006,24895.0,pnl,0.13551193735181166,1.173294663115982,tennis
50.0,34,8991.0,28511156.807153057,0.0157568433990924,0.0013933944657601779,-0.006855588202486196,-0.042..+0.036,30332.0,-0.002019021698476347,-0.035..+0.034,27539.0,-0.02186867852740985,-0.047..+0.006,25658.0,-0.022608690206410906,-0.045..-0.000,-0.029580392300152993,-0.059..-0.003,24306.0,roi,0.2509264825996948,1.7736833807973285,tennis
50.0,34,9492.0,28549755.209005363,0.015139825125557154,0.0008328984379603524,-0.01130380406623624,-0.040..+0.021,30264.0,-0.014757037586500382,-0.043..+0.014,27345.0,-0.01762231159176125,-0.044..+0.009,25659.0,-0.02351237348546873,-0.046..-0.002,-0.033276047476965706,-0.059..-0.006,24337.0,z,0.14410848357872322,2.018403528260376,tennis
50.0,30,3177.0,1334874.1800827757,-0.03560797320270897,-0.03742471093589019,-0.02174943367778458,-0.060..+0.020,3572.0,-0.018277430320196134,-0.058..+0.020,3534.0,-0.01390305064475647,-0.053..+0.026,3495.0,-0.05076244735985171,-0.109..+0.005,-0.018030487754285434,-0.057..+0.019,3501.0,win_rate,0.05437475100757435,0.4363911588912735,tennis
50.0,25,15039.0,105358562.8924117,-0.0031664938041993905,-0.012537108595683754,0.0038897791748372856,-0.022..+0.026,56272.0,-0.0022497067415320417,-0.025..+0.020,51687.0,-0.003509327795806664,-0.025..+0.020,45224.0,-0.01323026582295497,-0.024..-0.002,-0.011936086766573817,-0.034..+0.009,43164.0,whales,0.033009996031407175,0.33089529435680376,tennis
4.0,4,230.0,126495.40571279748,-0.035738742689958886,-0.03747899420892521,0.14136885828916526,-0.036..+0.343,300.0,0.07337035430183506,-0.092..+0.240,299.0,0.2528812050061077,+0.050..+0.484,287.0,-0.07015930741132151,-0.269..+0.139,0.11901355474708568,-0.048..+0.293,289.0,fdr,0.32154776993260675,4.583804311401641,tennis
